Subject,Start Date,Start Time,End Date,End Time,All Day Event,Description,Location,Private
Swb(w)316 SMu[5],21/11/2023,07:25 PM,21/11/2023,09:10 PM,False,Systemy wbudowane - (Wyk³ad) - Murawski Krzysztof,academic grounds,True
FII(w)aF S[9],22/11/2023,11:40 AM,22/11/2023,01:15 PM,False,Fizyka II - (Wyk³ad) -,academic grounds,True
"JoM(æ)233 K,-[23]",23/11/2023,07:25 PM,23/11/2023,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
Aok(w)314 SAr[7],24/11/2023,09:50 AM,24/11/2023,11:25 AM,False,Architektura i organizacja komputerów - (Wyk³ad) - Arciuch Artur,academic grounds,True
Po(w)314 SWlc[10],24/11/2023,01:30 PM,24/11/2023,03:05 PM,False,Programowanie obiektowe - (Wyk³ad) - Walczak Andrzej,academic grounds,True
Als(w)314 SWor[10],27/11/2023,09:50 AM,27/11/2023,11:25 AM,False,Algorytmy i struktury danych - (Wyk³ad) - Worwa Kazimierz,academic grounds,True
Sm(w)314 SJCh[6],27/11/2023,11:40 AM,27/11/2023,01:15 PM,False,Statystyka matematyczna - (Wyk³ad) - Chmaj Jerzy,academic grounds,True
FII(æ)201 65[5],27/11/2023,01:30 PM,27/11/2023,03:05 PM,False,Fizyka II - (Æwiczenia) -,academic grounds,True
SO(w)314 SZie[8],27/11/2023,03:45 PM,27/11/2023,05:20 PM,False,Systemy Operacyjne - (Wyk³ad) - Zielinski Zbigniew,academic grounds,True
"Ja(æ)134 K,-[24]",28/11/2023,05:35 PM,28/11/2023,07:10 PM,False,Jêzyk angielski - (Æwiczenia) - -,academic grounds,True
Swb(w)316 SMu[6],28/11/2023,07:25 PM,28/11/2023,09:10 PM,False,Systemy wbudowane - (Wyk³ad) - Murawski Krzysztof,academic grounds,True
FII(w)314 S[10],30/11/2023,11:40 AM,30/11/2023,01:15 PM,False,Fizyka II - (Wyk³ad) -,academic grounds,True
FII(L)139 S[3],30/11/2023,03:45 PM,30/11/2023,05:20 PM,False,Fizyka II - (Laboratorium) -,academic grounds,True
"JoM(æ)233 K,-[24]",30/11/2023,07:25 PM,30/11/2023,09:10 PM,False,Jêzyk obcy (II) miêdzywydzia³owy - (Æwiczenia) - -,academic grounds,True
Aok(w)314 SAr[8],01/12/2023,09:50 AM,01/12/2023,11:25 AM,False,Architektura i organizacja komputerów - (Wyk³ad) - Arciuch Artur,academic grounds,True
Po(w)314 SWlc[11],01/12/2023,11:40 AM,01/12/2023,01:15 PM,False,Programowanie obiektowe - (Wyk³ad) - Walczak Andrzej,academic grounds,True
Po(w)314 SWlc[12],01/12/2023,01:30 PM,01/12/2023,03:05 PM,False,Programowanie obiektowe - (Wyk³ad) - Walczak Andrzej,academic grounds,True
FII(æ)205 65[6],04/12/2023,09:50 AM,04/12/2023,11:25 AM,False,Fizyka II - (Æwiczenia) -,academic grounds,True
